frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
1,0.0,0.0,1753497013.7889125,1753497013.792759,1753497014.345338,1753497014.3459928,1753497014.4661753,5.0
2,0.06666666666666667,0.06666666666666667,1753497013.795457,1753497014.348869,1753497014.4859638,1753497014.4867449,1753497014.5238354,5.0
3,0.13333333333333333,0.13333333333333333,1753497013.8016074,1753497014.487804,1753497014.6445205,1753497014.645268,1753497014.6616921,5.0
5,0.26666666666666666,0.26666666666666666,1753497014.488403,1753497014.8080971,0.0,0.0,0.0,5.0
4,0.2,0.2,1753497014.349186,1753497014.6465735,1753497014.8062837,1753497014.8071337,1753497014.8268914,5.0
7,0.39999999999999997,0.39999999999999997,1753497014.8088005,1753497014.9639344,0.0,0.0,0.0,5.0
8,0.4666666666666666,0.4666666666666666,1753497014.8146021,1753497014.9660041,0.0,0.0,0.0,5.0
6,0.3333333333333333,0.3333333333333333,1753497014.646695,1753497014.810414,1753497014.9620044,1753497014.962706,1753497014.9813426,5.0
10,0.6,0.6,1753497014.9699504,1753497015.120233,0.0,0.0,0.0,5.0
9,0.5333333333333333,0.5333333333333333,1753497014.9648263,1753497014.9679534,1753497015.1175163,1753497015.118339,1753497015.1381712,5.0
12,0.7333333333333333,0.7333333333333333,1753497015.1197352,1753497015.2628453,0.0,0.0,0.0,5.0
11,0.6666666666666666,0.6666666666666666,1753497014.9748158,1753497015.1221504,1753497015.261278,1753497015.2620509,1753497015.2823527,5.0
14,0.8666666666666666,0.8666666666666666,1753497015.2639136,1753497015.4152975,0.0,0.0,0.0,5.0
13,0.7999999999999999,0.7999999999999999,1753497015.1256773,1753497015.2659893,1753497015.4129949,1753497015.4139094,1753497015.437213,5.0
16,0.9999999999999999,0.9999999999999999,1753497015.4196498,1753497015.5740473,0.0,0.0,0.0,5.0
17,1.0666666666666667,1.0666666666666667,1753497015.4254477,1753497015.5758705,0.0,0.0,0.0,5.0
